game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,category,mechanic,average_rating,users_rated,category_count,mechanic_count,has_expansion,binned_playtime,binned_mechanics,binned_min_age,binned_category,len_description,description_sentiment
1,5,240,14,3,240,Die Macher,240,economic,area control / area influence,7.66508,4498,3,5,0,Very Long (121-240 minutes),Strategic Mechanics,Teen (13+),Strategy,222,0.09101190476190477
2,4,30,12,3,30,Dragonmaster,30,card game,trick-taking,6.60815,478,2,1,0,Short (0-30 minutes),Card & Pool Mechanics,Pre-Teen (10-12),Unknown/Miscellaneous,154,0.055291005291005293
3,4,60,10,2,30,Samurai,60,abstract strategy,area control / area influence,7.44119,12019,2,4,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Strategy,183,-0.05625000000000001
4,4,60,12,2,60,Tal der Könige,60,ancient,action point allowance system,6.60675,314,1,4,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),History/War,104,-0.007908163265306124
5,6,90,12,3,90,Acquire,90,economic,hand management,7.3583,15195,1,3,0,Long (61-120 minutes),Pattern & Design Mechanics,Pre-Teen (10-12),Strategy,191,0.16805555555555554
6,6,240,12,2,240,Mare Mediterraneum,240,civilization,dice rolling,6.52534,73,2,1,0,Very Long (121-240 minutes),Randomness & Chance Mechanics,Pre-Teen (10-12),Strategy,70,0.03749999999999999
7,2,20,8,2,20,Cathedral,20,abstract strategy,area enclosure,6.50534,2751,1,4,0,Short (0-30 minutes),Game Structure Mechanics,Middle Childhood (7-9),Strategy,105,0.13571428571428573
8,5,120,12,2,120,Lords of Creation,120,civilization,modular board,6.14538,186,2,1,0,Long (61-120 minutes),Game Structure Mechanics,Pre-Teen (10-12),Strategy,107,0.17178030303030303
9,4,90,13,2,90,El Caballero,90,exploration,area control / area influence,6.51776,1263,1,2,0,Long (61-120 minutes),Strategic Mechanics,Teen (13+),Fantasy/Adventure,155,0.16115702479338842
10,6,60,10,2,60,Elfenland,60,fantasy,card drafting,6.74996,6729,2,4,1,Medium (31-60 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Fantasy/Adventure,749,0.022326649958228893
11,7,45,13,2,45,Bohnanza,45,card game,hand management,7.06751,28354,3,3,1,Medium (31-60 minutes),Strategic Mechanics,Teen (13+),Unknown/Miscellaneous,174,0.0784313725490196
12,5,60,12,2,45,Ra,60,ancient,auction/bidding,7.47505,15378,2,3,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),History/War,230,0.024355158730158727
13,4,120,10,3,60,Catan,120,negotiation,dice rolling,7.26569,67655,1,5,1,Long (61-120 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Social/Party,457,0.09886681945505475
14,4,25,10,3,25,Basari,25,negotiation,roll / spin and move,6.78156,1476,1,3,0,Short (0-30 minutes),Action & Movement Mechanics,Pre-Teen (10-12),Social/Party,259,-0.0028787878787878917
15,6,90,12,2,90,Cosmic Encounter,90,bluffing,hand management,6.9347,3629,3,2,1,Long (61-120 minutes),Game Structure Mechanics,Pre-Teen (10-12),Social/Party,128,0.02031249999999999
16,4,60,12,3,60,MarraCash,60,economic,auction/bidding,6.84341,877,1,1,0,Medium (31-60 minutes),Strategic Mechanics,Pre-Teen (10-12),Strategy,166,0.019531249999999993
